"","CHEX","ATAC","DNase","FAIRE"
"TF_ZNF282",0.518952661756817,5.14354686255311,4.74562474533699,5.54330004622494
"TF_JUNB",0.38526487479243,5.14599229898331,5.08923440588307,5.89469637545951
"TF_MTA3",0.49921728825905,5.01513962738879,4.73931692705192,5.56365907118653
"TF_SNRNP70",0.446255162378179,4.29495398641751,3.85814827284332,4.21254102174932
"TF_ZBTB40",0.47931632148741,4.33707250707546,4.13457418663921,4.87439630727401
"TF_XRCC5",0.430643192939385,5.11232521887722,4.86587591086933,5.80805959750334
"TF_FOXK2",0.508827998395592,4.90514405309779,4.92067235613458,5.70253475028551
"TF_LEF1",0.39516309485883,4.84144809556151,4.87392457141091,5.68476769813264
"TF_HCFC1",0.572795990297678,5.35023408667615,5.38644505041968,5.94780103598313
"TF_NFATC3",0.552962070445481,4.8318724225711,4.66973821708327,5.60844954239671
"TF_RLF",0.621219175563279,5.12501328840332,4.71526999652206,5.43513184439362
"TF_CBX1",0.559088791974538,4.80969314375095,4.48438757911019,5.1001136241703
"TF_SETDB1",0.45001029545141,4.63031239697047,4.46275066873377,4.99678180463117
"TF_RUNX1",0.550561660618371,5.38287021801426,5.1326769587547,5.95102440456853
"TF_HDAC6",0.555804418901278,4.76469660468922,4.48595825483519,4.77292933194999
