"","MouseAstroCulture","MouseNeuronCulture","MouseNeuronSlice","MouseInterneuronSlice"
"MouseBrainChIPBHMs_HindbrainEmbryo10.5days_H3K36me3",0,0,0,0
"MouseBrainChIPBHMs_HindbrainEmbryo10.5days_H3K9me3",0,0,0,0
"MouseBrainChIPBHMs_HindbrainEmbryo10.5days_H3K27me3",0,0,0,0
"MouseBrainChIPBHMs_HindbrainEmbryo11.5days_H3K36me3",1.31527257009365e-130,0,0,7.79581285385324e-46
"MouseBrainChIPBHMs_HindbrainEmbryo11.5days_H3K4me1",0,0,0,0
"MouseBrainChIPBHMs_HindbrainEmbryo11.5days_H3K9me3",0,0.000457399847101859,3.63340307718098e-19,6.33376851551239e-92
"MouseBrainChIPBHMs_HindbrainEmbryo11.5days_H3K27me3",0,0,0,0
"MouseBrainChIPBHMs_HindbrainEmbryo12.5days_H3K9me3",0,0.735664171520107,0,0
"MouseBrainChIPBHMs_HindbrainEmbryo12.5days_H3K4me1",0,0,0,0
"MouseBrainChIPBHMs_HindbrainEmbryo12.5days_H3K27me3",0,0,0,0
"MouseBrainChIPBHMs_HindbrainEmbryo12.5days_H3K36me3",0,0,0,0
"MouseBrainChIPBHMs_HindbrainEmbryo13.5days_H3K27me3",0,0,0,0
"MouseBrainChIPBHMs_HindbrainEmbryo13.5days_H3K9me3",0,1.98852974185605e-14,0,6.22375598671646e-22
"MouseBrainChIPBHMs_HindbrainEmbryo13.5days_H3K36me3",0,0,0,0
"MouseBrainChIPBHMs_HindbrainEmbryo13.5days_H3K4me1",0,0,0,0
"MouseBrainChIPBHMs_HindbrainEmbryo14.5days_H3K36me3",0,0,0,0
"MouseBrainChIPBHMs_HindbrainEmbryo14.5days_H3K27me3",0,0,0,0
"MouseBrainChIPBHMs_HindbrainEmbryo14.5days_H3K4me1",0,0,0,0
"MouseBrainChIPBHMs_HindbrainEmbryo14.5days_H3K9me3",7.2303484152862e-141,0,6.80146016759399e-214,3.53075111825515e-135
"MouseBrainChIPBHMs_HindbrainEmbryo15.5days_H3K27me3",0,0,0,0
"MouseBrainChIPBHMs_HindbrainEmbryo15.5days_H3K9me3",0,3.53634543252834e-54,5.68583037750403e-303,3.55416539528598e-05
"MouseBrainChIPBHMs_HindbrainEmbryo15.5days_H3K4me1",0,0,0,0
"MouseBrainChIPBHMs_HindbrainEmbryo15.5days_H3K36me3",0,0,0,0
"MouseBrainChIPBHMs_HindbrainEmbryo16.5days_H3K36me3",0,0,0,2.29698642047966e-40
"MouseBrainChIPBHMs_HindbrainEmbryo16.5days_H3K27me3",0,0,0,0
