"","FlankUp5kByGene","FlankDn5kByGene","ExonByGene","IntronByGene"
"scCLTdegenNuc483",1.19217081850534,1.3659793814433,NA,0.911373707533235
"scCLTdegenNuc484",1.19662921348315,1.43333333333333,NA,1.35555555555556
"scCLTdegenNuc485",1.25714285714286,1.15328467153285,NA,1.01909307875895
"scCLTdegenNuc495",2.7180877279448,2.55913978494624,2.72198275862069,0.82973708068903
"scCLTdegenNuc496",NA,NA,NA,1.15789473684211
"scCLTdegenNuc497",NA,NA,NA,1
"scCLTdegenNuc498",NA,0.901639344262295,NA,1.02727272727273
"scCLTdegenNuc499",NA,2.4,NA,1.20238095238095
"scCLTdegenNuc500",NA,NA,NA,1.27777777777778
"scCLTdegenNuc501",NA,1.01785714285714,NA,0.813432835820896
"scCLTdegenNuc502",NA,1.57377049180328,NA,1.06837606837607
"scCLTdegenNuc503",NA,1.87301587301587,NA,1.05660377358491
"scCLTdegenNuc504",NA,NA,NA,0.961038961038961
"scCLTdegenNuc505",1.03508771929825,1.30769230769231,NA,1.22093023255814
"scCLTdegenNuc506",NA,NA,NA,1.36904761904762
"scCLTdegenNuc507",NA,NA,NA,0.8875
"scCLTdegenNuc508",NA,NA,NA,1.11538461538462
"scCLTdegenNuc509",NA,NA,NA,1.27027027027027
"scCLTdegenNuc510",NA,NA,NA,NA
"scCLTdegenNuc511",1.06586826347305,1.36309523809524,1.18518518518519,1.17439293598234
"scCLTdegenNuc512",0.867052023121387,0.960227272727273,0.905263157894737,1.19398907103825
"scCLTdegenNuc513",0.855263157894737,1.11688311688312,1.19354838709677,1.21859296482412
"scCLTdegenNuc514",1.57236842105263,1.50920245398773,1.52439024390244,1.00581395348837
"scCLTdegenNuc515",2,2.30635838150289,2.49557522123894,0.820613690007868
"scCLTdegenNuc516",1.13440860215054,0.803370786516854,1.21311475409836,1.56111111111111
"scCLTdegenNuc517",1.92723004694836,2.30848329048843,1.71523178807947,1.0949957591179
"scCLTdegenNuc518",1.9060773480663,1.66511627906977,1.7032967032967,1.07627118644068
"scCLTdegenNuc521",NA,NA,NA,NA
"scCLTdegenNuc522",NA,NA,NA,NA
"scCLTdegenNuc523",NA,NA,NA,1.16666666666667
"scCLTdegenNuc524",NA,NA,NA,NA
"scCLTdegenNuc525",NA,NA,NA,NA
"scCLTdegenNuc526",NA,NA,NA,1.04477611940298
"scCLTdegenNuc527",NA,NA,NA,NA
"scCLTdegenNuc528",NA,NA,NA,NA
"scCLTdegenNuc529",NA,NA,NA,0.918918918918919
"scCLTdegenNuc530",NA,NA,NA,NA
"scCLTdegenNuc531",NA,1.85074626865672,NA,0.858638743455497
"scCLTdegenNuc532",1.76315789473684,1.20618556701031,NA,0.516949152542373
"scCLTdegenNuc533",NA,NA,NA,1.43157894736842
"scCLTdegenNuc534",3.6969696969697,2.86567164179104,NA,0.584229390681004
"scCLTdegenNuc535",1.79889807162534,1.80487804878049,1.46327683615819,0.94070796460177
"scCLTdegenNuc536",NA,1.38461538461538,NA,1.07207207207207
"scCLTdegenNuc537",NA,NA,NA,0.892857142857143
"scCLTdegenNuc542",NA,NA,NA,NA
"scCLTdegenNuc543",NA,NA,NA,NA
"scCLTdegenNuc544",NA,NA,NA,1.07843137254902
"scCLTdegenNuc545",NA,NA,NA,NA
"scCLTdegenNuc546",NA,NA,NA,NA
"scCLTdegenNuc547",NA,NA,NA,NA
"scCLTdegenNuc548",NA,NA,NA,NA
"scCLTdegenNuc549",NA,NA,NA,NA
"scCLTdegenNuc550",NA,NA,NA,1.19178082191781
"scCLTdegenNuc551",1.31958762886598,1.46666666666667,NA,0.954337899543379
"scCLTdegenNuc552",0.948051948051948,1.07142857142857,NA,0.988571428571429
